Location	Category	Sub Category	Brand	Offer	Start Date	End Date
Chandigarh	Retail	Sweet shop	Sindhi Sweets	15% discount flat	"October 14, 2013"	"October 11, 2014"
Chandigarh	Retail	Garments	Other Square	10% discount	"October 14, 2013"	"October 11, 2014"
Chandigarh	Retail	Garments	Cloth House	10% discount	"October 14, 2013"	"October 11, 2014"
Nahan	Hotels	Hotel	Hotel City Heart	15% discount on room rent	"October 14, 2013"	"October 11, 2014"
Chandigarh	Hotels	Restaurant	Sher E Punjab	15% discount on food	"October 14, 2013"	"October 11, 2014"
Chandigarh	Travel	Travel	Nayaar Travels	10% discount	"October 14, 2013"	"October 11, 2014"
Chandigarh	Retail	Jewellery	Silver Haze	35% discount flat	"October 14, 2013"	"October 11, 2014"
Pounta sahib	Hotels	Resorts	Vip Resorts	15% discount	"October 14, 2013"	"October 11, 2014"
Pounta sahib	Retail	Stores	Malvika /Ganpati Stores	15% discount on bill	"October 14, 2013"	"October 11, 2014"
Pounta sahib	Retail	Bakery	Town Bakers	15% discount on bill	"October 14, 2013"	"October 11, 2014"
Pounta sahib	Hotels	Hotel	Hotel Grand Ravera	15% discount on bill	"October 14, 2013"	"October 11, 2014"
Chandigarh	Retail	Watch Store	Packards Time And Tune	Flat 10% discount	"October 10, 2013"	"October 9, 2014"
Chandigarh	Retail	Garments	Bansal Textiles	15% discount	"October 10, 2013"	"October 9, 2014"
Chandigarh	Real Estate	Real Estate	Shift Ex Builders	10% discount	"October 10, 2013"	"October 9, 2014"
Chandigarh	Retail	Designers	Neeraj Designers	10% discount	"October 10, 2013"	"October 9, 2014"
Chandigarh	Hotels	Restaurant	Farmers Restaurant	10% discount	"October 10, 2013"	"October 9, 2014"
Chandigarh	Retail	Crockery	Aggarwal Crockery House	10% discount	"October 10, 2013"	"October 9, 2014"
Jammu	Health & Wellness	Salon	Personal Point	10 % discount on all services 	"October 12, 2013"	"October 11, 2014"
Jammu	Health & Wellness	Fitness Club	Sa Paredise	10% discount on all Services 	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Restaurant	Silver Lines	5% discount on purchase on diamond jewelry 	"October 12, 2013"	"October 11, 2014"
Jammu	Retail	Jewellery	Cee Ess Jewelers	100 % discount on labor charges of 916 Hallmark Jeweler & 10 % discount on diamond jewelry 	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Restaurant	17 Miles	Discount vouchers	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Restaurant	Bionic Food Planet	Discount vouchers	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Hotel	Fortune Hotel	Discount vouchers	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Hotel	Hotel Asia	Discount vouchers	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Hotel	Alka Salka Hotel	10% discount on all services 	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Restaurant	Sam C Restaurant	10% discount on all services 	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Hotel	Hotel Adhoose	Discount vouchers	"October 12, 2013"	"October 11, 2014"
Jammu	Retail	Supermarket	Pic N Choose	Discount vouchers	"October 12, 2013"	"October 11, 2014"
Jammu	Retail	Pizza Joint	Smokin Joes	Buy one large pizza get one medium free or buy medium get small 	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Restaurant	Yo China	Order above Rs 599 and get 1 vegetable starter worth of Rs150/- absolutely free 	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Restaurant	Moti Mahal	Order sbove Rs 499 and get 2 coke worth of Rs110/- absolutely free 	"October 12, 2013"	"October 11, 2014"
Jammu	Retail	Fashion	Monolisa Fashions	10% discount on purchase of Rs 5000/- & above 	"October 12, 2013"	"October 11, 2014"
Jammu	Hotels	Hotel	K C Residency	Discount vouchers	"October 12, 2013"	"October 11, 2014"
Jammu	Retail	Fashion	Diva	10% discount on purchase of Rs 5000/- & above 	"October 12, 2013"	"October 11, 2014"
Amritsar	Hotels	Hotel	Hotel M C International	15% discount on food and room rent	"October 9, 2013"	"October 8, 2014"
Amritsar	Hotels	Restaurant	Chatwal Restaurant	15% discount	"October 9, 2013"	"October 8, 2014"
Amritsar	Hotels	Hotel	Hotel Paradise	10% discount on food and room rent	"October 9, 2013"	"October 8, 2014"
Amritsar	Hotels	Hotel	Hk Clarks Inn	20% discount on room rent	"October 9, 2013"	"October 8, 2014"
Amritsar	Hotels	Restaurant	Yellow Chilli	20% discount on food	"October 9, 2013"	"October 8, 2014"
Amritsar	Hotels	Hotel	Hotel Surya	15% discount on room rent  and restaurant	"October 9, 2013"	"October 8, 2014"
Amritsar	Hotels	Hotel	Hotel Alstonia	15% discount on room rent	"October 9, 2013"	"October 8, 2014"
Amritsar	Hotels	Restaurant	Midnight Restaurant	15% discount on Bar and restaurant	"October 15, 2013"	"October 14, 2014"
Amritsar	Hotels	Restaurant	Safe Way Meats	15% discount on Bar and restaurant	"October 15, 2013"	"October 14, 2014"
Amritsar	Hotels	Hotel	P.R. Residency	35% discount on room rent	"October 15, 2013"	"October 14, 2014"
Amritsar	Hotels	Restaurant	Astoria Food Pavilion	15% discount on food and bar tariff	"October 15, 2013"	"October 14, 2014"
Amritsar	Travel	Travel	R B travels	15% discount domestic booking	"October 15, 2013"	"October 14, 2014"
Jaipur	Health & Wellness	Spa & Salon	Aura Thai Spa & Salon	"A ) 25 % off on below services : All types of body massage All types of Body Scrub All types of Facials All types of Hair Rebounding B) Free hair cut on above service taken worth Rs. 1500 or above. Both offers will be clubbed, if customer transacts for "	"September 18, 2013"	"September 30, 2014"
Jaipur	Hotels	Hotels	Fortune Bellcasa	15 % on room tariff (published rate) 15 % on Restaurant Food (published rate) 15 % on Bar products (published rate)	"September 20, 2013"	"September 30, 2014"
Udaipur	Dining	Restaurant	Rockwood Restaurant	20 % off on published rates (as per card rate)	"September 14, 2013"	"September 15, 2014"
Ajmer	Hotels	Hotels	The Royal Melange	30 % on room tariff (published rate) 10 % on Restaurant Food (published rate)	"September 20, 2013"	"September 19, 2014"
Udaipur	Health & Wellness	Spa & Salon	Quality Spa & Saloon	20 % off on all services (applicable on card rates)	"September 23, 2013"	"September 30, 2014"
Jaipur	Hotels	Hotels	Hotel Royal Orchid	20 % off on published rates on all services availed at Hotel	"September 11, 2013"	"September 30, 2014"
Jaipur	Health & Wellness	Diagnostic Lab	Dr. Goyals Path Lab and Imaging Center	15 % off on all Diagnostic Tests discount of Rs. 5000 on Master Health Check up package of Rs. 9000 discount of Rs. 3000 on Comprehensive Health Check up package of Rs. 6000 (as per card rate)	"September 23, 2013"	"September 30, 2014"
Jaipur	Health & Wellness	Hospital	Eternal heart care center & research institute pvt ltd	15% off on all diagnostic tests 55% discount on cardiac health package of Rs. 4475	"September 11, 2013"	"September 30, 2014"
Jaipur	Health & Wellness	Beauty & skin care	Kaya Kalp Herbals beauty clinic & institute	"15 % discount on all services (as per card rate) on selected outlets of Jaipur: 1. Bhan nagar, Queens Road 2. Bagaria Bhawan, C-scheme 3. Near L.B.S. College, Rajapark 4. Janpath, Shayam Nagar"	"September 25, 2013"	"September 25, 2014"
Jodhpur	Hotels	Hotels	Ajit Bhawan	30% discount on room rent(printed tariff) 20% discount on food(printed tariff)	"September 25, 2013"	"September 25, 2014"
Jodhpur	Stationery	Stationery	Book world	15% discount on all books (as per card rate)	"September 25, 2013"	"September 25, 2014"
Jodhpur	Hotels	Hotels	On the rocks	10% discount on food (as per card rate)	"September 27, 2013"	"September 27, 2014"
Jaipur	Hotels	Hotels	V2 The food paradise	15% discount on total billing of Rs. 500 & above as per card rate	"September 11, 2013"	"September 30, 2014"
Jaipur	Hotels	Hotels	Radisson Blu	20% off on total billing (as per card rate)	"October 1, 2013"	"September 30, 2014"
Kota	Health & Wellness	Hospital	Birla Eye and Child Hospital	20% off on Surgeon Fee only 20% on discount on only OPD charges (Consultation Fee : Rs. 100) (As per card rate)	"September 1, 2013"	"September 1, 2015"
Kota	Health & Wellness	Hospital	Suvi eye hospital & research centre pvt. Ltd.	20% on discount on surgery charges only 20% on discount on only OPD charges (as per card rate)	"September 1, 2013"	"September 01, 2014"
Ajmer	Hotels	Hotels	Hotel Samrat	25% discount on room tariff 15% discount on food (as per card rate)	"September 27, 2013"	"September 27, 2014"
Ajmer	Hotels	Hotels	Hotel  Moon Star	20% on discount on room tariff (as per card rate)	"October 1, 2013"	"October 31, 2014"
Ajmer	Health & Wellness	Beauty & skin care	The Veselka	15% off on smoothing 15% off  on Facial 15% off  on Hair color 15% off  on bridal package 15% off  on make up (as per card rate)	"September 28, 2013"	"September 28, 2014"
Jodhpur	Hotels	Hotels	Raas walled city Hotels Pvt. Ltd.	15% discount on all meals (As per card rate)	"September 25, 2013"	"September 25, 2014"
Jodhpur	Hotels	Hotels	Hotel City Palace	20% on room rent 10% on food	"September 28, 2013"	"September 28, 2014"
Jodhpur	Retail	Jewellery	Anantram Katta Jewellers	10% on making charges of gold ornaments	"September 30, 2013"	"September 30, 2014"
Jodhpur	Dining	Restaurant	Prestige Hospitality ñKHASS BAGHî	10% on all lunch & dinner except fixed thali meal	"September 30, 2013"	"September 30, 2014"
Jodhpur	Health & Wellness	Hospital	Goyal Hospital & Research Centre Pvt. Ltd.	10% on executive health check up (As per card rate)	"September 27, 2013"	"September 27, 2014"
Ajmer	Automobiles	Automobile	Devesh Motors co.	Rs. 1000 discount only on TVS motor cycle (as per card rate)	"September 27, 2013"	"September 27, 2014"
Udaipur	Departmental store	Departmental	The pages	15% off on books only (on MRP) 5% off on clothing & stationery only (on MRP)	"September 28, 2013"	"September 30, 2014"
Udaipur	Dining	Restaurant	Taste of Culture	20% off on total billing (only on food & non-alcoholic beverages)	"September 11, 2013"	"September 30, 2014"
