Location	Category	Sub Category	Brand	Offer	Start Date	End Date
Noida	Health & Wellness	Spa	Aura Thai Spa	Flat 20% of on all services in Delhi/nor	"October 1, 2013"	"September 30, 2014"
Noida	Dining	Restaurant	Desi Vibes	Flat 15 % off on total bill	"October 1, 2013"	"September 30, 2014"
Noida	Dining	Restaurant	Nysha	Flat 15 % off on total bill	"October 1, 2013"	"September 30, 2014"
Noida	Dining	Restaurant	Kaffiiaa	Flat 15 % off on total bill	"October 1, 2013"	"September 30, 2014"
Noida	Dining	Restaurant	 Tashtari	20% off on food items Buy 1 drink get 1 free	"November 1, 2013"	"October 31, 2014"
Noida	Travel	Travel	Plan Journeys Pvt Ltd	25% discount on the travel insurance booked with plan journeys. 10% discount on the international and domestic tour packages. 5% discount on the basic fares of domestic air tickets booked    5% discount will be given on the gross cost on the booking of in	"November 1, 2013"	"October 31, 2014"
Noida	Travel	Travel	Indian Tripz	Flat 10% off on domestic package booking on a minimum5 day package. Flat 10% off on domestic hotel booking (valid on selected hotels)	"November 1, 2013"	"October 31, 2014"
Noida	Travel	Travel	 Sher Vilas	Flat 20% off on deluxe rooms booking *(offer is not valid during Diwali and new year season) Flat 15% off on booking of sher villas maharaja tents *(offer valid from 1st April to 30th sep'14) Flat 30% discount on booking of sher villas during lean season	"November 1, 2013"	"October 31, 2014"
Noida	Entertainment	Gaming items	Game Zone	"10% off on Nike Products 15% off on Sports Shoes, Apparels, Sports Goods, Sports Accessories. No Purchase Limit 25% off on Badminton Rackets (Yonex, Li-Ning, Thwack and Carlton), Lawn Tennis Rackets (Yonex, Head, Dunlop, Prince), Squash Rackets (Prince, H"	"November 1, 2013"	"October 31, 2014"
Noida	Books	Books	Kohli Book Distributors	Flat 25% off on all type of books	"October 1, 2013"	"September 30, 2014"
Noida	Home decor	Home furniture	Gracia Furniture	Flat 15% off on total bill value	"October 1, 2013"	"September 30, 2014"
Noida	Health & Wellness	Gym	Devotion Gym	Flat 40% off on yearly membership Flat 30% off on half yearly membership	"November 1, 2013"	"October 31, 2014"
Noida	Retail	Jewels	Solitaire	20 % off on certified diamond jewelry for all icici card users 10 % off on making charges of bus hallmarked jewelry Free gifts (marble figures and products from Bikaner with 24 kit gold work) for every icici Card holder purchase (over 10000).	"November 1, 2013"	"October 31, 2014"
Noida	Retail	Electrical goods	Ankur Electricals	"Fancy Lights _ 25% off Home Appliances _ 15% off Inverter, Battery _ 20% off Geyser _ Rs.1600 off on exchange of new geyser Air Conditioner _ 5% off RO Water Purifier _ 10% off Cordless Phone _ 10% off"	"November 1, 2013"	"October 31, 2014"
Noida	Retail	 Mobile phone & accessories	Electro World	Flat 20% off on all mobile accessories	"November 1, 2013"	"October 31, 2014"
Noida	Retail	Shoes & handbags	Paul Shoes Pvt Ltd	Flat 10 % off on all footwear and ladies handbags & purses	"November 1, 2013"	"October 31, 2014"
Noida	Retail	Jewels	Diamond Wheel	Flat 10% off on diamond price on certified diamond jewelry Flat 10% off on certified birthstone Flat 10% off on making charges on hallmark gold jewelry	"November 1, 2013"	"October 31, 2014"
Noida	Retail	High end garments and home interior	Indian August	"5% discount to all ICICI Bank Credit card and Debit Card holders on purchase above 5000/- up to 10,000/- 7% discount to all ICICI Bank Credit card and Debit card holders on purchase above 10,000/-."	"November 1, 2013"	"October 31, 2014"
Delhi	Health & Wellness	Spa	Neha Beauty Clinic Spa & Academy	10% off on beauty products	"October 17, 2013"	"October 17, 2015"
New Delhi	Dining	Restaurant	Gola Sizzler (A Unit Of Kesari Hospitality Pvt Ltd)	15 % off on dining for ICICI Bank Debit & Credit card holders.	"September 30, 2013"	"September 30, 2014"
New Delhi	Dining	Restaurant	Grillz Lounge (A Unit Of Pulkit Traders)	15 % off on dining for ICICI Bank Debit & Credit card holders.	"September 30, 2013"	"September 30, 2014"
New Delhi	Ecommerce	Electronics	Sunrise Techvision Pvt Ltd	15 % off on a spend of Rs 3000/- or above 	"September 30, 2013"	"September 30, 2014"
New Delhi	Travel	Travel	Wow Trips Pvt Ltd	15 % off on a spend of Rs 2000/- or above 	"September 30, 2013"	"September 30, 2014"
New Delhi	Dining	Restaurant	Punjabi Haveli	15 % off on a spend of Rs 1000/- or above 	"September 30, 2013"	"September 30, 2014"
New Delhi	Dining	Restaurant	Over The Top	15 % off on dining	"September 30, 2013"	"September 30, 2014"
Delhi	Health & Wellness	Optical items	Optical Point	15% off on all products	"September 1, 2013"	"November 1, 2014"
Delhi	Home decor	Furniture	The Furniture Lounge	10% discount	"September 1, 2013"	"August 31, 2014"
Delhi	Dining	Restaurant	Cafe Red	15% off on the bill more than Rs 500	"September 28, 2013"	"September 30, 2014"
Delhi	Health & Wellness	Lab	Thyrocare	30% discount on blood test	"September 28, 2013"	"September 30, 2014"
Delhi	Bakery	Eating	Dees Chawla	15% off on the bakery products	"October 28, 2013"	"November 30, 2014"
Delhi	Bakery	Eating	Breadz	15% off on the bakery products	"October 28, 2013"	"November 30, 2014"
New Delhi	Health & Wellness	Dental	Smile Dental Care	Flat 15% off	"September 15, 2013"	"September 14, 2014"
New Delhi	Health & Wellness	Dental	Diplomatic Dental Centre	Flat 10% off	"September 15, 2013"	"September 14, 2014"
New Delhi	Health & Wellness	Eye care	Laxmi Opticals	Flat 15% off	"September 15, 2013"	"September 14, 2014"
New Delhi	Retail	Garments	Anika Impex Pvt Ltd	Flat 10% off	"September 24, 2013"	"September 23, 2014"
New Delhi	Travel	Travel	Classic Tours & Travels	Upto 30% off on domestic tour	"September 24, 2013"	"September 23, 2014"
New Delhi	Hospitality	Hotels	I G Hospitality	Upto 50 % ( hotel stay package)	"September 24, 2013"	"September 23, 2014"
Sangli	Health & Wellness	Healthcare	Kullolli Hospital	15% discount on Hospital Charges	"October 01, 2013"	"October 31, 2015"
Sangli	Retail	Apparel	Gokul Sarees	12.5% discount on purchase of Rs.10000 & above	"October 01, 2013"	"October 31, 2015"
Sangli	Retail	Furniture	Sofa House	15% discount On Display Products	"October 01, 2013"	"October 31, 2015"
Sangli	Retail	Gifts	Art Junction	"12.5% discount on Name plates, fiber pots & Painting"	"October 01, 2013"	"October 31, 2015"
Sangli	Health & Wellness	Healthcare	Deesha Pathlab & Diagnostics	15% discount on tests	"October 01, 2013"	"October 31, 2015"
Sangli	Retail	Sanitary wear	Deep Enterprises	15% discount on MRP	"October 01, 2013"	"October 31, 2015"
Sangli	Home decor	Furniture	Sheetal Furniture's	12.5% discount on full cushioned sofa Sets	"October 01, 2013"	"October 31, 2015"
Sangli	Home decor	Fast food	AVI'S World of Furniture	12.5% discount on Purchase of Rs.10000 & above	"October 01, 2013"	"October 31, 2015"
Sangli	Retail	Electronics	Nanwani Electronics	12.5% - 15% discount On Mobile handsets & 15% discount On Accessories	"October 01, 2013"	"October 31, 2015"
Sangli	Retail	Clothes	Selection Centre	15% discount For Readymade & woolen Garments	"October 01, 2013"	"October 31, 2015"
Sangli	Hotels	Hotel	Season 4 Executive	12.5% discount On Basic Room Tariff	"October 01, 2013"	"October 31, 2015"
Sangli	Travel	Tours	Paarth Holidays	10% discount On Domestic tour packages	"October 01, 2013"	"October 31, 2015"
Sangli	Hotels	Hotel	Krishna International	20% discount On Basic Room Tariff	"October 01, 2013"	"October 31, 2015"
Sangli	Retail	Sports	Karmuse Sports	15% discount On MRP	"October 01, 2013"	"October 31, 2015"
Mumbai	Dining	Restaurant	Neelam-e-punjab	15% discount on lunch & 10% discount on dinner (Food & beverages)  & drinks)	"January 21, 2014"	"January 21, 2015"
Ahmedabad	Health & Wellness	Hospital	Vasan Eye Care	10% discount on opticals;5% discount on Surgeries;15% discount on procedure & Investigations	"September 01, 2013"	"September 19,2014"
Ahmedabad	Retail	Retail	V Mart Retail Ltd.	10% discount on a minimum bill of Rs. 199/-	"October 22, 2013"	"October 21, 2014"
Indore	Retail	Sunny optical	All Brand Specs	"15% discount at local brand Specs, and 5% discount branded Specs"	"December 12, 2013"	"December 11, 2014"
Indore	Travel	Travel	GNS Tour & travels	15% to 20% discount at international and domestic tour	"December 12, 2013"	"December 11, 2014"
Indore	PR	PR	PR 24 network limited	25% discount on PR	"December 11, 2013"	"December 10, 2014"
Chattarpur	Retail	"Kitchen & Home appliance,Crockery, Furniture,Toys, Luggage & decorative super store "	Rawat Stores	Flat 15% discount on MRP 	"November 10, 2013"	"November 10, 2014"
Bhopal	Retail	Jewellery	Agrawal  diamond	10% Discount on purchase of all diamond jewellery @ MRP.	"January 01, 2014"	"December 31, 2014"
Bhopal	Retail	Apparels	Kaya Boutique	10% discount on Mens / Women Wear  on minimum  purchase of Rs. 2000 & above.	"January 01, 2014"	"December 31, 2014"
Bhopal	Restaurant	Restaurant	Hotel Surya Grill	10% on all Food Items from Menu on min purchase of Rs.500/- & above. 2. 15% on accommodation( stay in hotal )	"January 01, 2014"	"December 31, 2014"
Bhopal	Health &    Wellness	Fitness 	Vishal Fitness 	10% disc on annual membership for both General & Pers Exercise Programmes.	"January 01, 2014"	"December 31, 2014"
Bhopal	Retail	Food & Beverages 	TDS	10% on food items menu on minimum purchase of Rs 1000 & above	"January 01, 2014"	"December 31, 2014"
Bhopal	Health &    Wellness	Beauty   Clinics 	Rose-Saloon 	10% off on beauty services  & spa treatment on min bill amount of Rs. 1000/- & above ( excluding all type of make ups)                  	"January 01, 2014"	"December 31, 2014"
Bhopal	Restaurant	Restaurant	Hong Kong Foods	Flat 10% on food items with minimum bill amount of  Rs 500 & above	"January 31, 2014"	"January 31, 2015"
Bhopal	Retail	Food &  Beverages	"C21, DB City, Aura  Mall,Food Court"	"1. 10% off on min purchase of Rs 200 in C21 mall FoodCourt (Dilli parathe Wali Gali, Panchamaut, Dosa world, Chaat Chakori, Barnie's coffee,Just Jooce, Beyond meals and Beijing spring) 2.10% off on min purchase of Rs 200 inDB Mall Court (Barnes Coffee, Dosa Plaza, Shanghai Post JustJooce  3. 10% off on min purchase of Rs 200 in Aura Mall Food Court (Noodle Doodle Dakshin E Chaat Chakori, Just Jooce and  Punjabi pind Da Dhaba) 4.Presto, DB Mall 20% off on min  purchase of Rs.1000  & above."	"February 08, 2014"	"February 08, 2015"
Bhopal	Health &    Wellness	Fitness   Mania	Fitness Mania	10% disc on annual membership for both General & Pers Exercise Programmes.	"January 01, 2014"	"December 31, 2014"
Bhopal	Health &    Wellness	Dentist	Dental Den	1. 10% off on all dental services (with a minimum treatment of Rs.2000) 2. 1000/- Gift voucher for all NCA CASA customers.( Across all 22 branches of M.P.)	"January 01, 2014"	"December 31, 2014"
Bhopal	Health &    Wellness	Beauty   Clinics 	Nikky Bawa Spa Treat	"1.10% off on beauty services  2. 45 % on body spa, body massages & jacuzi treatments."	"January 01, 2014"	"December 31, 2014"
Bhopal	Hotel	Food &  Beverages	Hotel   Residency	1. 10% on food items from menu on min bill amount of Rs. 1000/- & above.  2. 20% on  accommodation ( stay in hotal )        	"January 01, 2014"	"December 31, 2014"
Bhopal	Hotel	Food &  Beverages	Hotel Shri Vatika	1. Flat 10% on food items from menu on minimum purchase of Rs 500/-  2. 10% on accomodation ( stay in Hotal )	"January 01, 2014"	"December 31, 2014"
Bhopal	Retail	Saree Store	Mrignaynee	1. Flat 10%discount on all the items (even on existing running offers provided the total % does not exceed 30%.	"January 25, 2014"	"January 24, 2015"
Bhopal	Retail	Jewellery	Ratna House	Flat 18% discount on Gems.	"February 01, 2014"	"December 31, 2014"
Bhopal	Retail	Watch store	Helios- The  Watch Store	Flat 500 /- off on all purchases.	"January 15, 2014"	"January 14, 2015"
Bhopal	Retail	Suit Store	Ethlati	"1. 5% discount on min bill amount of below Rs.5000 ,     2. 10% discount on min bill amount between Rs.5000-10000, and 3.  15% discount on min Bill amount of Rs.10000 & above."	"February 01, 2014"	"December 31, 2014"
Bhopal	Hotel	Food &  Beverages	Hotel Amer   Palace	1. 10% discount on jharokha Restaurant @  M.P. Nagar on min billing  of Rs.1300/-  2.10% discount on bakery items @ Amer Palace M.P. Nagar ) on min  billing of Rs. 1000/-  3: item worth Rs. 50/- free on min billing of Rs. 600 & above @ A.B.H Bittan Market & New Market)	"February 01, 2014"	"December 31, 2014"
Bhopal	Health &    Wellness	Dentist	S.S. Eye Hospial- Dental Care Unit	 Flat 10% on all Dental  treatment & surgeries. Not on consultancy fee.	"January 15, 2014"	"December 31, 2014"
Bhopal	Health &    Wellness	Eye Hospital	Sewa Sadan Eye Hospital	 Flat 10%  off on all Eye treatment  &  surgeries	"February 15, 2014"	"December 31, 2014"
Bhopal	Retail	Naturopathy Hospital	Arogya Kendra	 Flat 10% on all health Treatments	"February 15, 2014"	"December 31, 2014"
Bhopal	Retail	Food &  Beverages	Simply Food court	Flat 10% on food items with minimum bill amount of purchase of Rs. 300/-	"February 15, 2014"	"February 14, 2015"
Bhopal	Retail	Electronics	Aapoorti	Upto 40% off on all Electronics items.	"February 15, 2014"	"February 14, 2015"
Bhopal	Retail	Apparels	Aapoorti	Upto 40% off on Garments & shoes.	"February 15, 2014"	"February 14, 2015"
Bhopal	Hospital	Hospital	City Hospital	Flat 15% off on health check up and 15% Hospitalisation (Patient should not refer by any other doctor)	"January 01, 2014"	"December 31, 2014"
Bhopal	Health &    Wellness	Hospital	Bhopal  Medical Centre	15% discount on all services with min bil amount of Rs.1000 & above	"January 01, 2014"	"December 31, 2014"
Bhopal	Retail	Food & Beverages 	Sango the pub and a club lounge	15% discount on net billing on all Food items.	"February 20, 2014"	"February 20, 2015"
Bhopal	Health &    Wellness	Beauty   Clinics 	Absolute Spa	15% discount on all services.	"February 20, 2014"	"February 20, 2015"
Bhopal	Restaurant	Restaurant	Greek Food	Greek Food ::10% on all food items with min bill amount of Rs. 1000 & above	"February 20, 2014"	"February 20, 2015"
Bhopal	Restaurant	Restaurant	Pind Baluchi	Pind Baluchi 10% on all food items with min bill amount of Rs. 1000 & above	"February 20, 2014"	"February 20, 2015"
Bhopal	Restaurant	Restaurant	Naturals	Naturals ::10% on all food items with min bill amount of Rs. 1000 & above	"February 20, 2014"	"February 20, 2015"
Bhopal	Restaurant	Restaurant	Tha Chocolate Room	The Chocolate Room ::10% on all food items with min bill amount of Rs. 1000 & above	"February 20, 2014"	"February 20, 2015"
Bhopal	Health &    Wellness	Beauty Clinics 	Skin City by Dr. Menakshi Tandon's	"10% dis on min bill amount of Rs. 1000& above  (Skin City::Central India's First, Center For, Skin Diseases,Laser Treatment,Beauty Salon, &Spa under, Medical Supervision, Of Skin Specialist)"	"February 8, 2014"	"February 7, 2015"
Bhopal	Health &    Wellness	Beauty Clinics 	Essentia-The Salon	10% off on min bill amount of Rs. 1000 & above	"February 8, 2014"	"February  7, 2015"
Bhopal	Health &    Wellness	Beauty Clinics 	Thai Massage centre	10% off on min bill amount of Rs. 1000 & above	"February 8, 2014"	"February  7, 2015"
Bhopal	Restaurant	Restaurant	Hotel Ranjit Lakeview	10% off on min food bill amount of Rs. 1000 & above	"February 20, 2014"	"February  20, 2015"
Bhopal	Restaurant	Restaurant	Padharo Sa	"1. 10% dis on min bill amount of Rs. 1000 & above ( only on Deluxe Thali @ Mansarovar) 2.5% on DB City Mall, Gulmohar & Best Price on min purchase of Rs. 1000 & above. 3.( Only for individual not for parties Group & not applicable on drinks (including water bottles) ) "	"February 20, 2014"	"February  20, 2015"
Bangalore	Health & Wellness	Hospital	The Apollo Hospitals and Apollo Clinic	25% on health check ups	"October 1, 2013"	"January 20, 2015"
Bangalore	Health & Wellness	Dental	Swiss Smile Dental Clinic	20% discount on all dental procedures	"October 1, 2013"	"February 28, 2015"
Bangalore	Health & Wellness	Therapies	Ojas Wellness Pvt. Ltd.	15% discount on all types of therapies	"October 1, 2013"	"January 20, 2015"
Pan India	Retail	Apparels	Being Human	5% off on all products and Being Human exclusive outlets	"May 01, 2014"	"September 30, 2014"
Pan India	Ecommerce	Apparels	Planetsports.com	Additional 7% off on ICICI Cards	"July 01, 2014"	"Augsut 31, 2014"
Pan India	Ecommerce	Books	uread.com	Flat 7% off on all products at www.uread.com	"May 01, 2014"	"July 31, 2014"
Pan India	Ecommerce	Books	uread.com	Flat 7% off on all products at www.uread.com	"May 01, 2014"	"July 31, 2014"
Pan India	Ecommerce	Electronics	Maxima Watches	25% off on all products	"Mar 1, 2014"	"September 30, 2014"
Pan India	Ecommerce	Electronics	Infibeam	Additional FLAT 5 % OFF on Electronics and Mobiles. Min Purchase of Rs.1000. Max Discount of Rs.1000	"Mar 1, 2014"	"Jul 31, 2014"
Pan India	Ecommerce	Electronics/ Gifts	IFB Appliances	Additional 5% off on select products listed on the alliance partners 	"Jul 1, 2014"	"Dec 31, 2014"
Pan India	Ecommerce	Electronics/Fashion/Gifts	eBay.in	"Additional 6% off, max discount Rs 500"	"Apr 1, 2014"	"Sep 30, 2014"
Pan India	Ecommerce	Electronics/Fashion/Gifts	Infibeam	Flat 10%  off on purchases. Max discount of Rs.250	"Mar 1, 2014"	"Jul 31, 2014"
Pan India	Ecommerce	Electronics/Gifts	Kaspersky	Get upto 54% off on all products	"Apr 1, 2014"	"Oct 31, 2014"
Pan India	Ecommerce	Fashion	Jabong	Additional 32% off and the highest spender will get an HCL Tab absolutely free.	"Jun 24, 2014"	"Jul 7, 2014"
Pan India	Ecommerce	Fashion	shoppersstop.com	Flat 12% off on minimum purchase of Rs 1800	1st July 2014	31st March 2015
Pan India	Ecommerce	Fashion/Gifts	Metro Shoes	15% off on a minimum purchase of Rs.1250. Maximum discount amount is Rs.500	"May 1, 2014"	"Oct 31, 2014"
Pan India	Ecommerce	Fashion/Gifts	GrabtheBrand.com	Flat 10% off on all products listed on Grabthebrand.com/offerzone	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Fashion/Gifts	MyBagsDirect.com	Flat 33% off + additional Rs.250 off on purchases of Rs.2500 and above	"May 15, 2014"	"Aug 31, 2014"
Pan India	Ecommerce	Fashion/Gifts	Engrave.in	20% off on a purchase of Rs 1000 and above	"May 15, 2014"	"Aug 31, 2014"
Pan India	Ecommerce	Fashion/Gifts	Perfumes Direct	Additional 20% off on Minimum purchase of Rs 1499 and above (Max discount up to Rs 600)	"June 01, 2014"	"May 30, 2015"
Pan India	Ecommerce	Fashion/Gifts	Lens Direct	Additional 20% on Purchase of Spectacle and Sunglasses (No Minimum Purchase required.)	"June 01, 2014"	"May 30, 2015"
Pan India	Ecommerce	Fashion/Gifts	GrabtheBrand.com	Upto 30% off on exclusive FIFA merchandise +  Additional 10% off for ICICI Bank customers	"Jun 14, 2014"	"Jul 14, 2014"
Pan India	Ecommerce	Gifting	The Bombay Store	10% Off on no minimum purchase value	1st June 2014	31st March 2015
Pan India	Ecommerce	Gifts	FernsnPetals	Flat 15% off on all purchases	"May 1, 2014"	"Oct 31, 2014"
Pan India	Ecommerce	Gifts	Cakeomania	Flat discount of 15% on purchase of Rs 500 and above 	"Jul 1, 2013"	"Jul 31, 2014"
Pan India	Ecommerce	Gifts	FernsnPetals	Flat 15% off on all purchases	"May 1, 2014"	"Oct 31, 2014"
Pan India	Ecommerce	Gifts	Monginis	Get 20% discount on purchase of Rs190 and above (Max discount of Rs1000)	"Jul 1, 2014"	"Sep 30, 2014"
Pan India	Ecommerce	Gifts 	FloristInIndia	Flat 22% off on all purchases	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Tara Jewellers	10% off on MRP of Diamond Jewellery   10% Off on making charges of Gold	1st April 2014	31st March 2015
Pan India	Ecommerce	Lifestyle	First Cry	Flat 20% off on all apparels and shoes listed on Firstcry.com	"Jul 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Lifestyle	First Cry	Flat 10% off on Toys and Baby gear listed on Firstcry.com  	"Jul 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Lifestyle	Pack My Bag.in	Flat  10% off on purchase of Rs.500 and above	"Jun 1, 2014"	"Jul 31, 2014"
Pan India	Ecommerce	Lifestyle/Gifts	FabFurnish.com	15% off above Rs.1749 on all products 	"Jul 1, 2014"	"Aug 31, 2014"
Pan India	Ecommerce	Sweets	Haldirams	10% off on purchses at www.haldirams.com	"July 01, 2014"	"Augsut 31, 2014"
Pan India	Ecommerce	Baby Products	Greenkins	15% off on all orders of Rs 1500 and above 	"October 01, 2013"	"September 30, 2014"
Pan India	Ecommerce	Bus Booking	Infibeam Travel	"Flat 5% off on bus ticket booking, maximum discount of Rs.100"	"Jul 31, 2014"	"Jun 30, 2014"
Pan India	Ecommerce	Dining	Khaugalideals	All food deals at Rs.1 only	"October 1, 2013"	"August 31, 2014"
Pan India	Ecommerce	Domestic Flights	Infibeam Travel	"Flat 20 percent off, Maximum discount available is upto Rs 200 on one way & utpo Rs 400 on return domestic flight booking "	"Jul 31, 2014"	"Jun 30, 2014"
Pan India	Ecommerce	Domestic Hotels	Infibeam Travel	"Flat 10% instant discount on bookings of domestic hotels, maximum discount is Rs.1000/-"	"Jul 31, 2014"	"Jun 30, 2014"
Pan India	Ecommerce	Education	Right Choice Magazine	Get Rs 1400 credited to your ICICI Bank Debit / Credit card while you subscribe to Right Choice magazine at Rs 1399 for 12 issues 	"October 1, 2013"	"November 30, 2014"
Pan India	Ecommerce	Edutainment	Meritnation 	Flat  10% off on making any purchase on Meritnation.com for ICICI bank debit/ credit/ net banking 	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	Electronics	World of Cameras	Additional 5% off	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	Electronics/ Fashion/ Gifts	Dhamaal.com	Additional 15 % off on all purchases above Rs.499. Max Rs1499	"May 15, 2014"	"Oct 31, 2014"
Pan India	Ecommerce	Electronics/Fashion/Gifts	Bagittoday	Additional 5% discount on cart value with no min cap	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	e-magazines	India Today	"On registration and use of promo code, customer gets 4 single Issue of India Today e-magazine free of cost. "	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	e-magazines	India Today	"Cosmopolitan India -On registration and use of promo code, customer gets 1 single Issue of Cosmopolitan e-magazine free of cost. "	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	e-magazines	India Today	"On registration and use of promo code, customer gets 2 single Issue of Business Today e-magazine free of cost. "	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	e-magazines	India Today	 50% discount on1 year e-subscription of India Today (Hindi and English)	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	e-magazines	India Today	50% discount on 1 year e-subscription of Cosmopolitan India 	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	e-magazines	India Today	50% discount on 1 year e-subscription of Business Today. 	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	Eye Gear	Lenskart	25% off on Purchase of Rs.1200 & above 	"February 01, 2014"	"July 30, 2014"
Pan India	Ecommerce	Fashion	American Swan	25% on minimum purchase of Rs.3999.00 & above. Maximum discount Rs.1000.00	"April 01, 2014"	"July 31, 2014"
Pan India	Ecommerce	Fashion	American Swan	Additional 15% off on all products on a minimum purchase of Rs.1499 and above	"April 01, 2014"	"July 31, 2014"
Pan India	Ecommerce	Fashion	Myntra	37% off on all orders  with minimum purchase of Rs.1599	February 01 2014	"August 30, 2014"
Pan India	Ecommerce	Fashion	Indian Roots	"Shop above Rs3,000 and get 20% Discount on the total order value. Free Shipping on all deliveries."	"Apr 1, 2014"	"Jun 30, 2014"
Pan India	Ecommerce	Fashion	Indian Roots	"Shop above Rs6,000 and get 25% Discount on the total order value. Free Shipping on all deliveries."	"Apr 1, 2014"	"Jun 30, 2014"
Pan India	Ecommerce	Fashion	Indian Roots	"Shop above Rs10,000 and get 30% Discount on the total order value. Free Shipping on all deliveries."	"Apr 1, 2014"	"Jun 30, 2014"
Pan India	Ecommerce	Fashion/Gifts	Naaptol	"Flat 20% off on purchase of Apparels, Bags, Watches, Footwear, Home Decor and Artificial Jewlery "	"Mar 1, 2014"	"Dec 31, 2014"
Pan India	Ecommerce	Gifting	Printland.in	Flat 30% off	"August 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	Gifting	Flaberry	Free voice messaging service with gifts purchased	"September 01, 2013"	"August 31, 2014"
Pan India	Ecommerce	Gifting	BalGopal	Additional 5% off	"October 01, 2013"	"July 31, 2014"
Pan India	Ecommerce	Gifting	Flaberry	Flat 20% off on all purchases over 499 (plants excluded) 	"September 01, 2013"	"August 31, 2014"
Pan India	Ecommerce	Gifting	My Flower Tree	Rs.1000 off on minimum purchase of Rs.4000 and above	"April 01, 2014"	"September 30, 2014"
Pan India	Ecommerce	Gifting	My Flower Tree	Get 15% off on all purchases	"April 01, 2014"	"September 30, 2014"
Pan India	Ecommerce	Gifting	Shop Clues	Additional Health & Nutrition Sale 15% off. Max discount of Rs. 350 	"July 01, 2013"	"October 30, 2014"
Pan India	Ecommerce	Gifting	Shop Clues	Additional 10% off on all categories to a max discount of RS 500	"July 01, 2013"	"October 30, 2014"
Pan India	Ecommerce	Gifting	Shop Clues	Flat Rs. 700 off on Smartphones on a min purchase of Rs 11000   	"July 01, 2013"	"October 30, 2014"
Pan India	Ecommerce	Gifting	Snap Galaxy	Rs.1000 off on minimum purchase of Rs.4000 and above	"April 01, 2014"	"December 31, 2014"
Pan India	Ecommerce	Gifting	Snap Galaxy	Rs.250 off on minimum purchase of Rs.1000 and above	"April 01, 2014"	"December 31, 2014"
Pan India	Ecommerce	Gifts	Giftease	15% off on orders above 1200.00. Excluding gift cards/vouchers and gift wrapping charges	"May 10, 2014 "	"September 30, 2014"
Pan India	Ecommerce	Gifts	Archies	20% off on all products on a minimum purchase of Rs.300.00 for shopping at the website www.archiesonline.com	"June 01, 2014 "	"October 31, 2014"
Pan India	Ecommerce	Home Decor	homebyfreedom	Flat 15% off for all ICICI Bank customers	"December 1, 2013"	"December 31, 2014"
Pan India	Ecommerce	Home Decor	India Circus	Flat 15% off on a minimum purchase of Rs.999 and above	"June 01, 2014"	"September 30, 2014"
Pan India	Ecommerce	Home D_cor	Pepperfry	"Flat 25% off on products under Furniture, Furnishings and D_cor Categories"	"June 01, 2014"	"September 30, 2014"
Pan India	Ecommerce	Hotel	Saffron Voyages (52Rooms)	10% discount on listed price on website 15% discount on listed price on website (For Employees)	"September 01, 2013"	"August 31, 2014"
Pan India	Ecommerce	Jewellery	Surat Diamonds	"Rs 1,000/ off on a purchase of Rs 2,500 and above "	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Surat Diamonds	"Rs 2,000/ off on a purchase of Rs 5,000 and above "	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Surat Diamonds	"Rs 3,000/ off on a purchase of Rs 10,000 and above"	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Surat Diamonds	"Rs 5,000/ off on a purchase of Rs 15,000 and above  "	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Surat Diamonds	"Rs 10,000/ off on a purchase of Rs 30,000 and above "	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Surat Diamonds	Rs 300 off on any purchase 	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Surat Diamonds	Rs 1200/ off on any purchase of diamond from www.suratdiamond.com (not valid on gold coins and certified diamond )	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Jewellery	Surat Diamonds	15% off on any purchase	"May 1, 2014"	"Mar 31, 2015"
Pan India	Ecommerce	Retail	Metro Shoes	15% off on a minimum purchase of Rs.1250.00. Maximum discount amount is Rs.500.00	"May 01, 2014"	"October 31, 2014"
Pan India	Ecommerce	Retail	Godrej Natures Basket	10% off on all products on minimum purchase of Rs.1500.00 	"May 01, 2014"	"July 31, 2014"
